Year,Movie,Total,TotalNow,TotalDif,Score,PercentIncrease,Percentile,AdjustedPercentIncrease
2019,Parasite,1390115,4252961,2862846,92,2.059431054,0.942,1.939984053
2019,Joker,1746138,4681496,2935358,74.66666667,1.681057282,1,1.681057282
2019,Endgame,1424566,3485722,2061156,81.46666667,1.446865923,0.971,1.404906811
2019,OnceUponATimeInHollywood,1145249,2884967,1739718,78.03333333,1.519074018,0.914,1.388433652
2019,Midsommar,703489,2861515,2158026,72.73333333,3.067604469,0.771,2.365123045
2019,LittleWomen,513117,1945463,1432346,85.83333333,2.791460817,0.6,1.67487649
2019,1917,873320,2040918,1167598,82.36666667,1.336964686,0.857,1.145778736
2019,SpidermanFarFromHome,732125,2152416,1420291,74.23333333,1.939956975,0.8,1.55196558
2019,MarriageStory,652584,1422853,770269,86.83333333,1.180336937,0.742,0.875810008
2019,FordVFerrari,504692,1154186,649494,81.06666667,1.286911621,0.542,0.697506099
2019,CaptainMarvel,910974,1847537,936563,61.93333333,1.028089715,0.885,0.909859398
2019,TheLighthouse,484615,1323059,838444,79.26666667,1.730123913,0.514,0.889283691
2019,JojoRabbit,759582,1988417,1228835,75.76666667,1.617777936,0.828,1.339520131
2019,ReadyOrNot,267698,874906,607208,70.3,2.268257514,0.171,0.387872035
2019,TheIrishman,616269,1128838,512569,85.86666667,0.831729326,0.657,0.546446167
2019,UncutGems,640685,1496491,855806,80.5,1.335767187,0.714,0.953737771
2019,Rocketman,325663,679179,353516,76.1,1.085527063,0.314,0.340855498
2019,JohnWick3,507817,1150805,642988,75.43333333,1.266180534,0.571,0.722989085
2019,Us,637713,1853492,1215779,74.36666667,1.906467329,0.685,1.305930121
2019,FrozenII,321101,747667,426566,69.56666667,1.328448058,0.285,0.378607697
2019,Shazam,483847,996357,512510,70.93333333,1.059239801,0.485,0.513731303
2019,Booksmart,381293,850922,469629,79.3,1.231674854,0.371,0.456951371
2019,ToyStory4,516958,1150341,633383,81.13333333,1.225211719,0.628,0.76943296
2019,AdAstra,384253,629206,244953,70.2,0.637478432,0.4,0.254991373
2019,Yesterday,255740,550840,295100,65.16666667,1.153906311,0.142,0.163854696
2019,Aladdin2019,425761,786013,360252,64.4,0.846136682,0.428,0.3621465
2019,ABeautifulDayInTheNeighborhood,145110,230555,85445,78.83333333,0.588829164,0.01,0.005888292
2019,DoctorSleep,280365,598273,317908,70.03333333,1.133907585,0.257,0.291414249
2019,Hustlers,220056,378314,158258,71.66666667,0.719171484,0.057,0.040992775
2019,It2,464922,1162952,698030,63.46666667,1.501391631,0.457,0.686135975
2019,Zombieland2,269771,577574,307803,64.53333333,1.14097883,0.2,0.228195766
2019,Terminator: Dark Fate,226693,347607,120914,61.66666667,0.533382151,0.085,0.045337483
2019,HowToTrainYourDragonHiddenWorld,241941,545091,303150,74.06666667,1.252991432,0.114,0.142841023
2019,AlitaBattleAngel,376081,633833,257752,66.13333333,0.685362994,0.342,0.234394144
2019,TheTwoPopes,212890,311768,98878,74.8,0.464455822,0.028,0.013004763
2019,Hobbs&Shaw,278275,492914,214639,64.26666667,0.771319738,0.228,0.1758609
2022,EverythingEverywhereAllAtOnce,1167167,3270173,2103006,82.3,1.801803855,0.989,1.781984013
2022,TheMenu,403727,2456978,2053251,72.76666667,5.085741107,0.802,4.078764368
2022,PussInBootsTheLastWish,111182,1389182,1278000,78.96666667,11.4946664,0.384,4.413951899
2022,TheWhale,58119,1031644,973525,70.86666667,16.75054629,0.186,3.11560161
2022,AvatarTheWayOfWater,610266,1988141,1377875,74.2,2.257826915,0.912,2.059138146
2022,GlassOnionAKnivesOutMystery,904018,2324938,1420920,78.26666667,1.571782863,0.956,1.502624417
2022,Babylon,69187,911856,842669,66.43333333,12.17958576,0.208,2.533353838
2022,TheBansheesOfInisherin,287776,1217132,929356,82.86666667,3.229442344,0.681,2.199250236
2022,TheBatman,1844862,3448366,1603504,77.8,0.86917287,1,0.86917287
2022,AllQuietOnTheWesternFront,228608,950881,722273,80.4,3.159438865,0.626,1.977808729
2022,TheFabelmans,128159,607140,478981,81.7,3.737396515,0.439,1.64071707
2022,TopGunMaverick,1090177,2209383,1119206,83.6,1.026627786,0.967,0.992749069
2022,Tar,110544,609865,499321,82.46666667,4.51694348,0.362,1.63513354
2022,Pearl,293185,1357287,1064102,76.56666667,3.629455804,0.703,2.55150743
2022,BulletTrain,685142,1827416,1142274,62.7,1.667207674,0.923,1.538832683
2022,BlackPantherWakandaForever,466636,1212691,746055,72.96666667,1.598794349,0.824,1.317406544
2022,Nope,884503,1846349,961846,74,1.087442326,0.945,1.027632998
2022,TriangleOfSadness,201110,867992,666882,71.8,3.316006166,0.604,2.002867724
2022,X,535565,1448681,913116,73.86666667,1.704958315,0.879,1.498658359
2022,DoctorStrangeInTheMultiverseOfMadness,1154993,1952370,797377,66.66666667,0.690373881,0.978,0.675185656
2022,MarcelTheShellWithShoesOn,12397,318813,306416,82.46666667,24.71694765,0.01,0.247169476
2022,Barbarian,518446,1193055,674609,73.56666667,1.301213627,0.857,1.115140078
2022,ThorLoveAndThunder,883738,1509007,625269,62.3,0.70752757,0.934,0.660830751
2022,ViolentNight,141239,341400,200161,64.73333333,1.417179391,0.472,0.668908673
2022,Elvis,524664,1085464,560800,72.33333333,1.068874556,0.868,0.927783115
2022,DontWorryDarling,490640,1093540,602900,59.16666667,1.228803196,0.846,1.039567504
2022,GuillermoDelTorosPinocchio,291809,653840,362031,80.93333333,1.240643709,0.692,0.858525446
2022,BodiesBodiesBodies,286255,953066,666811,69.5,2.329430054,0.67,1.560718136
2022,TheBlackPhone,484183,1023757,539574,70.7,1.11440096,0.835,0.930524802
2022,BonesAndAll,230065,746249,516184,72.6,2.243644188,0.637,1.429201347
2022,DecisionToLeave,135469,355756,220287,81.4,1.626106342,0.461,0.749635024
2022,EnolaHolmes2,191746,375304,183558,69.2,0.957297675,0.593,0.567677521
2022,WhiteNoise,102184,226677,124493,60.3,1.218321851,0.329,0.400827889
2022,BlackAdam,383882,670246,286364,55.43333333,0.745968813,0.769,0.573650017
2022,TheNorthman,593714,933293,339579,76.1,0.571957205,0.901,0.515333442
2022,TurningRed,568277,1026809,458532,76.3,0.806881151,0.89,0.718124225
2022,TheUnbearableWeightOfMassiveTalent,246628,538347,291719,72.26666667,1.182830011,0.648,0.766473847
2022,Scream,377310,808975,431665,66.4,1.144059262,0.758,0.86719692
2022,Till,15228,46265,31037,79.16666667,2.038153402,0.032,0.065220909
2022,TheGrayMan,400220,621628,221408,60.86666667,0.553215731,0.791,0.437593643
2022,WhereTheCrawdadsSing,173706,426526,252820,62.3,1.45544771,0.549,0.799040793
2022,Fall,116873,388551,271678,64.06666667,2.324557426,0.395,0.918200183
2022,TheWomanKing,116904,238523,121619,78.76666667,1.040332238,0.406,0.422374889
2022,JurassicWorldDominion,367841,618471,250630,52.56666667,0.681354172,0.747,0.508971567
2022,RRR,225715,437141,211426,84.66666667,0.936694504,0.615,0.57606712
2022,SheSaid,48721,138421,89700,76,1.841095216,0.12,0.220931426
2022,Prey,446621,666830,220209,73.23333333,0.493055633,0.813,0.40085423
2022,WeirdTheAlYankovicStory,82040,167193,85153,71.8,1.037944905,0.252,0.261562116
2022,Amsterdam,144505,311650,167145,55.2,1.156672779,0.483,0.558672952
2022,Causeway,35702,92317,56615,68.43333333,1.585765503,0.098,0.155405019
2022,TheGoodNurse,124090,224486,100396,67.06666667,0.809057942,0.428,0.346276799
2022,SecretsOfDumbledore,307540,500865,193325,58.8,0.628617416,0.725,0.455747626
2022,Argentina1985,51735,161430,109695,79.53333333,2.120324732,0.142,0.301086112
2022,Blonde,180938,299200,118262,50.2,0.653605102,0.571,0.373208513
2022,Devotion,13196,63641,50445,69.7,3.822749318,0.01,0.038227493
2022,DeathOnTheNile,335927,532883,196956,61.1,0.586305953,0.736,0.431521182
2022,RoaldDahlsMatildaTheMusical,81021,173001,91980,72.96666667,1.135261229,0.23,0.261110083
2022,TicketToParadise,91248,222264,131016,60.46666667,1.435823251,0.296,0.425003682
2022,TheSeaBeast,105449,198216,92767,75.16666667,0.879733331,0.34,0.299109332
2022,Men,180604,352353,171749,60.2,0.950970078,0.56,0.532543244
2022,Hustle,279891,453678,173787,73.5,0.620909568,0.659,0.409179406
2022,TheAdamProject,396772,594128,197356,62.43333333,0.497404051,0.78,0.38797516
2022,Sonic2,189818,339486,149668,63.06666667,0.788481598,0.582,0.45889629
2022,ThreeThousandYearsOfLonging,118294,231381,113087,67.1,0.955982552,0.417,0.398644724
2022,GoodLuckToYouLeoGrande,57008,115324,58316,76.6,1.022944148,0.175,0.179015226
2022,ThirteenLives,89210,131976,42766,74.13333333,0.479385719,0.285,0.13662493
