Year,Movie,Total,TotalNow,TotalDif,Score,PercentIncrease,Percentile,AdjustedPercentIncrease
2020,AnotherRound,162825,843428,680603,79.46666667,4.179966221,0.264,1.103511082
2020,BadBoysForLife,212941,419697,206756,66.73333333,0.970954396,0.47,0.456348566
2020,BirdsofPrey,415503,1163497,747994,65.66666667,1.800213236,0.941,1.694000655
2020,BoratSubsequentMoviefilm,289595,597909,308314,68.06666667,1.064638547,0.764,0.81338385
2020,Da5Bloods,135621,207596,71975,72.5,0.530706896,0.176,0.093404414
2020,EnolaHolmes,269641,1044249,774608,67.73333333,2.872738196,0.705,2.025280428
2020,Eurovision,150151,296731,146580,60.86666667,0.976217275,0.205,0.200124541
2020,Extraction,245707,600335,354628,63.5,1.443296284,0.588,0.848658215
2020,Hamilton,170116,739554,569438,89.7,3.347351219,0.323,1.081194444
2020,ICareALot,214855,552756,337901,63.13333333,1.572693212,0.5,0.786346606
2020,ImThinkingOfEndingThings,252945,596770,343825,70.86666667,1.359287592,0.617,0.838680444
2020,JudasAndTheBlackMessiah,154989,435953,280964,82.96666667,1.812799618,0.235,0.42600791
2020,LoveandMonsters,126405,481100,354695,71.5,2.806020331,0.147,0.412484989
2020,Mank,171060,316861,145801,75.43333333,0.852338361,0.352,0.300023103
2020,MaRaineysBlackBottom,119416,218331,98915,77.33333333,0.828322838,0.117,0.096913772
2020,Minari,165095,618548,453453,79.1,2.746618614,0.294,0.807505872
2020,Mulan,212876,471328,258452,65.56666667,1.214096469,0.441,0.535416543
2020,Nomadland,212662,718801,506139,81.3,2.380016176,0.411,0.978186648
2020,Onward,274349,782803,508454,73.53333333,1.853310929,0.735,1.362183533
2020,PalmSprings,296248,1004638,708390,78.9,2.391206017,0.794,1.898617577
2020,PromisingYoungWoman,253701,987292,733591,76.16666667,2.891557384,0.647,1.870837628
2020,Run,107512,435182,327670,67.36666667,3.047752809,0.029,0.088384831
2020,SonicTheHedgehog,200599,785218,584619,65.76666667,2.914366472,0.382,1.113287992
2020,Soul,583854,2529866,1946012,82.36666667,3.33304559,0.97,3.233054222
2020,SoundOfMetal,254860,956860,702000,79.43333333,2.754453425,0.676,1.862010516
2020,Tenet,627863,2221863,1594000,70.73333333,2.538770401,1,2.538770401
2020,The Devil All the Time,244913,651526,406613,69.8,1.660234451,0.558,0.926410823
2020,TheFather,112935,635099,522164,84.33333333,4.623579935,0.058,0.268167636
2020,TheGentlemen,385807,1028951,643144,67,1.667009671,0.882,1.47030253
2020,TheInvisibleMan,397218,974510,577292,74.63333333,1.453337966,0.911,1.323990887
2020,TheKingOfStatenIsland,116943,324981,208038,69.76666667,1.778969241,0.088,0.156549293
2020,TheOldGuard,215187,435665,220478,67.2,1.024587917,0.529,0.542007008
2020,TheTrialofTheChicago7,301216,606083,304867,76.86666667,1.01212087,0.823,0.832975476
2020,TheWayBack,71505,132012,60507,68.5,0.846192574,0.01,0.008461926
2020,WonderWoman1984,355710,874131,518421,59.5,1.457425993,0.852,1.241726946
2023,AmericanFiction,20338,654456,634118,80.76666667,31.17897532,0.027,0.841832334
2023,AnyoneButYou,59990,1884541,1824551,61.46666667,30.41425238,0.138,4.197166828
2023,PoorThings,161657,2734161,2572504,83.16666667,15.9133474,0.319,5.076357819
2023,TheIronClaw,107029,1086553,979524,78.53333333,9.151949472,0.208,1.90360549
2023,TheBoysInTheBoat,17255,124093,106838,67.26666667,6.191712547,0.013,0.080492263
2023,TheHoldovers,249552,1690321,1440769,84.33333333,5.773421972,0.416,2.40174354
2023,TheColorPurple,23182,124883,101701,74.9,4.387067552,0.055,0.241288715
2023,Ferrari,56760,300500,243740,68.56666667,4.294221283,0.125,0.53677766
2023,Wish,50314,250073,199759,56.26666667,3.97024685,0.111,0.4406974
2023,Priscilla,228065,1128298,900233,72.26666667,3.947265034,0.388,1.531538833
2023,GodzillaMinusOne,223929,1018127,794198,83.56666667,3.546650947,0.375,1.329994105
