Year,Movie,Score,ScoreNow,ScoreNowDif,ScoreNowDifZ,ScoreByDays,ScorediffLeft,ScorediffLeftPer
2019,Booksmart,75.31428571,77.68571429,2.371428571,3.13801081,0.00118099,0.096064815,9.606481481
2019,TheGoodLiar,62.48571429,63.62857143,1.142857143,1.549024917,0.00062383,0.030464585,3.046458492
2019,JoJoRabbit,75.5,76.22857143,0.728571429,1.013204093,0.000396178,0.029737609,2.973760933
2019,ReadyOrNot,69.38571429,70.11428571,0.728571429,1.013204093,0.00037986,0.023798413,2.379841344
2019,Harriet,69.98571429,70.62857143,0.642857143,0.902344612,0.000348243,0.021418372,2.14183722
2019,TheAeronauts,64.68571429,65.25714286,0.571428571,0.809961711,0.000315532,0.01618123,1.618122977
2019,Endgame,81.08571429,81.68571429,0.6,0.846914871,0.00029484,0.031722054,3.172205438
2019,TheKing,69.48571429,70,0.514285714,0.736055391,0.000278595,0.016853933,1.685393258
2019,Rocketman,75.27142857,75.8,0.528571429,0.754531971,0.000264286,0.021374928,2.137492779
2019,FordvFerrari,80.91428571,81.34285714,0.428571429,0.62519591,0.000233936,0.02245509,2.245508982
2019,Midsommar,71.18571429,71.62857143,0.442857143,0.64367249,0.000225143,0.01536936,1.536936044
2019,MotherlessBrooklyn,66.72857143,67.11428571,0.385714286,0.569766169,0.000208946,0.011592958,1.159295835
2019,UncutGems,78.92857143,79.28571429,0.357142857,0.532813009,0.000199298,0.016949153,1.694915254
2019,QueenAndSlim,74.25714286,74.54285714,0.285714286,0.440430108,0.000156986,0.011098779,1.109877913
2019,PeanutButterFalcon,76.25714286,76.54285714,0.285714286,0.440430108,0.000148038,0.012033694,1.203369434
2019,MissingLink,68.3,68.57142857,0.271428571,0.421953528,0.000132469,0.008562416,0.85624155
2019,RichardJewell,73.61428571,73.82857143,0.214285714,0.348047207,0.000118784,0.008121278,0.812127775
2019,Judy,69.77142857,69.97142857,0.2,0.329570627,0.000106724,0.006616257,0.661625709
2019,Hustlers,70.18571429,70.28571429,0.1,0.200234566,5.27704E-05,0.003354097,0.335409679
2019,MarriageStory,85.92857143,86,0.071428571,0.163281406,3.87777E-05,0.005076142,0.507614213
2019,KnivesOut,81.62857143,81.65714286,0.028571429,0.107851666,1.57072E-05,0.00155521,0.155520995
2019,AdAstra,69.05714286,69.02857143,-0.028571429,0.033945345,-1.51E-05,-0.000413736,-0.041373604
2019,Us,72.98571429,72.88571429,-0.1,-0.058437556,-4.90E-05,-0.001370131,-0.137013114
2019,DoctorSleep,70.27142857,70.17142857,-0.1,-0.058437556,-5.44E-05,-0.001423053,-0.142305347
2019,Dolemite,77.72857143,77.57142857,-0.157142857,-0.132343876,-8.38E-05,-0.002021687,-0.202168719
2019,PainAndGlory,82.38571429,82.17142857,-0.214285714,-0.206250197,-0.000114347,-0.002601006,-0.260100572
2019,OUaTiH,77.84285714,77.6,-0.242857143,-0.243203357,-0.000124927,-0.003119839,-0.31198385
2019,Parasite,91.85714286,91.57142857,-0.285714286,-0.298633098,-0.000152952,-0.00311042,-0.311041991
2019,TheIrishman,85.45714286,85.17142857,-0.285714286,-0.298633098,-0.000154691,-0.003343363,-0.334336342
2019,TwoPopes,75.25714286,74.97142857,-0.285714286,-0.298633098,-0.000158907,-0.003796507,-0.379650721
2019,TheFarewell,83.74285714,83.34285714,-0.4,-0.446445739,-0.000207147,-0.004776527,-0.477652678
2019,LastBlackManSF,80.21428571,79.77142857,-0.442857143,-0.501875479,-0.000222095,-0.005520926,-0.552092609
2019,HoneyBoy,76.61428571,76.2,-0.414285714,-0.464922319,-0.000225155,-0.005407421,-0.540742122
2019,LittleWomen,84.85714286,84.42857143,-0.428571429,-0.483398899,-0.000239025,-0.005050505,-0.505050505
2019,Joker,77.41428571,76.85714286,-0.557142857,-0.649688121,-0.000297143,-0.0071969,-0.71968998
2019,Bombshell,67.71428571,67.17142857,-0.542857143,-0.63121154,-0.000301923,-0.008016878,-0.801687764
2019,ABEAUTIFULDAYINTHENEIGHBORHOOD,78.47142857,77.85714286,-0.614285714,-0.723594441,-0.000336411,-0.007828145,-0.782814491
2019,Lighthouse,80.04285714,79.37142857,-0.671428571,-0.797500762,-0.000362151,-0.008388363,-0.838836338
2019,1917,83.34285714,82.6,-0.742857143,-0.889883663,-0.00041431,-0.008913267,-0.891326706
2019,LionKing,65.08571429,63.85714286,-1.228571429,-1.518087388,-0.000629391,-0.018876207,-1.88762072
2019,FrozenII,70.6,69.2,-1.4,-1.739806349,-0.000766703,-0.019830028,-1.983002833
2019,ToyStory4,82.3,80.54285714,-1.757142857,-2.201720853,-0.000887446,-0.02135046,-2.135045999
2019,StarWarsROS,61.61428571,59.25714286,-2.357142857,-2.977737219,-0.00131098,-0.038256434,-3.825643404
2022,ReturnToSeoul,75.22857143,80.51428571,5.285714286,6.610126483,0.013181332,0.213379469,21.33794694
2022,Close,80.11428571,81.8,1.685714286,2.017580173,0.004900332,0.084770115,8.477011494
2022,SaintOmer,72.11428571,73.85714286,1.742857143,2.090477734,0.00499386,0.0625,6.25
2022,HolySpider,69.71428571,70.91428571,1.2,1.39795091,0.002758621,0.039622642,3.962264151
2022,PetiteMaman,82.4,83,0.6,0.632526525,0.00096,0.034090909,3.409090909
2022,MarcelTheShellWithShoesOn,81.8,82.37142857,0.571428571,0.596077744,0.001016777,0.031397174,3.139717425
2022,SheSaid,71.97142857,72.8,0.828571429,0.924116766,0.001991758,0.029561672,2.956167176
2022,Emancipation,55.45714286,56.45714286,1,1.142809448,0.002544529,0.022450289,2.245028865
2022,TheWomanKing,71.6,71.94285714,0.342857143,0.304487503,0.000715777,0.012072435,1.207243461
2022,Blonde,49.42857143,49.97142857,0.542857143,0.559628964,0.001169951,0.010734463,1.073446328
2022,TriangleOfSadness,71.42857143,71.71428571,0.285714286,0.231589942,0.00062383,0.01,1
2022,Happening,79.68571429,79.88571429,0.2,0.122243601,0.000327869,0.009845288,0.984528833
2022,TheOutfit,73.82857143,74.08571429,0.257142857,0.195141162,0.000389021,0.009825328,0.982532751
2022,BrianAndCharles,69.22857143,69.37142857,0.142857143,0.049346041,0.000251509,0.004642526,0.464252553
2022,AllTheOldKnives,60.45714286,60.6,0.142857143,0.049346041,0.000224618,0.003612717,0.361271676
2022,WhiteNoise,59.4,59.54285714,0.142857143,0.049346041,0.000381971,0.003518649,0.351864884
2022,ThirteenLives,74.34285714,74.42857143,0.085714286,-0.02355152,0.000164519,0.003340757,0.334075724
2022,TheGreatestBeerRun,59.37142857,59.48571429,0.114285714,0.012897261,0.000245776,0.00281294,0.281293952
